4071,59,16,19,4,11,5,2,2,3,4.0,Yes,Yes,Random Team,
2285,37,8,3,4,18,8,6,2,1,4.0,Yes,Yes,Random Team,
3260,105,13,7,19,5,2,18,3,1,1.0,Yes,No,Random Team,
680,54,13,14,5,12,6,20,2,1,4.0,No,No,Random Team,
2358,47,14,17,17,14,2,11,1,1,0.5,Yes,Yes,Random Team,
3988,99,13,1,4,19,5,17,1,0,1.0,No,Yes,Random Team,
5013,65,12,3,5,14,7,8,3,1,0.5,No,No,Random Team,
5924,47,1,13,7,16,7,6,2,0,0.5,Yes,Yes,Random Team,
3560,25,9,16,13,20,4,7,2,3,4.0,Yes,No,Random Team,
7706,81,15,16,12,2,7,6,2,1,1.5,No,Yes,Random Team,
7176,14,5,12,19,5,0,17,1,0,1.0,No,No,Random Team,
1493,59,14,15,9,9,9,12,1,3,1.0,No,Yes,Random Team,
3483,79,5,14,2,18,10,3,2,3,4.0,Yes,Yes,Random Team,
2862,4,2,11,19,7,4,19,2,2,0.5,No,Yes,Random Team,
7144,83,18,12,13,8,1,11,3,2,2.5,No,No,Random Team,
1320,16,4,3,15,8,5,16,2,2,2.5,Yes,No,Random Team,
305,15,7,11,13,11,6,11,2,2,3.0,Yes,Yes,Random Team,
2240,28,4,3,16,18,3,1,1,2,4.5,No,No,Random Team,
1251,32,15,6,15,18,6,9,1,2,0.0,No,Yes,Random Team,
3834,32,16,13,17,15,3,7,1,1,4.5,Yes,No,Random Team,
